source;translation;type;module;status;customer
"Please enable MySQL extension. More info http://php.net/mysql";"Va rugam sa activati extensia MySQL. Mai multe informatii: http://php.net/mysql";S;;T;N
"MySQL version is %s or higher";"MySQL este versiunea %s sau mai mare";S;;T;N
"MySQL version is less then %s";"Versiunea MySQL este mai putin de %s";S;;T;N
"Please install MySQL version %s or higher. Your current version is %s. More info http://myqsl.net/";"Va rugam sa instalati MySQL versiunea %s sau mai mare. Versiunea dvs. curenta este %s. Mai multe informatii: http://myqsl.net/";S;;T;N
"Please check system requirements and try again";"Va rugam sa verificati cerintele de sistem si sa incercati din nou";S;;T;N
"Welcome";"Bun venit";S;;T;N
"Error, you cannot deactivate Default campaign";"Eroare, nu puteti dezactiva ""Default""";S;merchant;T;N
"You have to specify status of campaign (rstatus field)";"Trebuie sa specificati statutul de campanie (camp rstatus)";S;merchant;T;N
"Campaigns";"Campanii";B;;T;N
"Overview";"Prezentare generala";B;;T;N
"Campaigns Manager";"Manager de campanii";S;merchant;T;N
"Banners";"Bannere";B;merchant;T;N
"Banners Manager";"Manager de bannere";B;merchant;T;N
"Affiliates";"Afiliati";B;merchant;T;N
"Affiliates Manager";"Afiliatii Manager-ului";S;merchant;T;N
"DirectLinks Urls";"DirectLink-uri, url-uri";S;merchant;T;N
"Transactions";"Tranzactii";S;merchant;T;N
"Raw clicks list";"Lista de clik-uri brute";B;merchant;T;N
"Commissions";"Comisioane";B;;T;N
"Reports";"Rapoarte";B;;T;N
"Trends report";"Tendinte in raport";B;;T;N
"Payouts history";"Istoria platilor";B;;T;N
"Payouts by affiliate";"Plati de afiliat";B;merchant;T;N
"Payouts";"Plati";B;merchant;T;N
"Pay affiliates";"Plati afiliatii";B;merchant;T;N
"Communication";"Comunicare";B;;T;N
"Send message";"Trimite un mesaj";S;merchant;T;N
"Configuration";"Configuratie";B;merchant;T;N
"Tracking settings";"Urmarirea setarii";B;merchant;T;N
"Affiliate panel";"Panoul de Afiliere";C;merchant;T;N
"Tools";"Instrumente";B;;T;N
"Integration";"Integrare";B;merchant;T;N
"Import / Export";"Import / Export";B;merchant;N;N
"Event logs";"Jurnalele de evenimente";B;merchant;T;N
"Online users";"Utilizatori online";B;;T;N
"Database status";"Pozitia: Baza de date";B;;T;N
"User cannot be found";"Utilizatorul nu poate fi gasit";S;affiliate;T;N
"Email was successfuly sent to merchant";"E-mail-ul a fost trimis cu succes la comerciant";S;affiliate;T;N
"Email notifications saved";"Notificarile de e-mail salvate";S;;T;N
"Banner";"Banner";B;;N;N
"none active";"nici unul activ";S;;T;N
"per click";"pe clic";B;;T;N
"per sale";"pe vanzare";B;;T;N
"ID";"Id-ul";B;;T;N
"Name";"Nume";B;;T;N
"Description";"Descriere";B;;T;N
"Status";"Status";B;;N;N
"Date created";"Data crearii";S;;T;N
"Actions";"Actiuni";B;;T;N
"Channel";"Canal";B;;T;N
"Failed to save %s field(s). Data with value '";"Nu am putut salva domeniul (iile) %s. Date cu valoare ";S;affiliate;T;N
"Failed to save %s field(s)";"Nu am putut salva domeniul (iile) %s";S;;T;N
"%s field(s) successfully saved";"campul (urile) %s au fost cu succes salvate";S;;T;N
"User";"Utilizator";S;;T;N
"Channel name";"Numele canalului";S;affiliate;T;N
"Pattern didn't matched the URL, check your pattern";"Modelul nu se potriveste cu URL-ul, verificati modelul dvs.";S;affiliate;T;N
"Pattern matched the URL";"Modelul de potrivire al URL-ului";S;affiliate;T;N
"Login";"Login";B;;N;N
"First name";"Prenume";B;;T;N
"Last name";"Nume";B;;T;N
"Referral ID";"Referire ID";B;;T;N
"I agree with terms & conditions";"Sunt de acord cu termenii si conditiile";B;;T;N
"Cannot find invoice";"Nu pot gasi factura";S;;T;N
"Affiliate";"Afilia";B;;T;N
"Date of registration";"Data de inregistrare";S;affiliate;T;N
"% in total sales";"% totalul vanzarilor";S;affiliate;T;N
"% of total sales";"% din totalul vanzarilor";S;affiliate;T;N
"% of total commissions";"% din totalul comisioanelor";S;affiliate;T;N
"Commission";"Comision";B;;T;N
"Total cost";"Cost total";B;;T;N
"Order ID";"ID comanda";B;;T;N
"Product ID";"ID-ul produsului";B;;T;N
"Created";"Creat";B;;T;N
"Campaign Name";"Numele campaniei";B;;T;N
"Type";"Tip";B;;T;N
"Affiliate username";"Afiliere nume de utilizator";S;;T;N
"Paid";"platit";B;;T;N
"Ip";"IP";S;;N;N
"Referer";"Referinta";B;;T;N
"Commision";"Comision";S;;T;N
"Recurring commison id";"commison recurente id";S;;T;N
"Payout history id";"istoria id-urilor de plata";S;;T;N
"Click count";"Faceti clic pe numarul de";S;;T;N
"First click time";"In primul rand faceti clic pe timp";S;;T;N
"First click referer";"In primul rand faceti clic pe referinta";S;;T;N
"First click ip";"In primul rand faceti clic pe IP";S;;T;N
"First click data 1";"In primul rand faceti clic pe data 1";S;;T;N
"First click data 2";"In primul rand faceti clic pe data 2";S;;T;N
"Last click time";"clic ultima data";S;;T;N
"Last click referer";"Ultima data faceti clic pe referer";S;;T;N
"Last click ip";"Ultima data faceti clic pe ip";S;;T;N
"Last click data 1";"Ultimele data faceti clic pe data 1";S;;T;N
"Last click data 2";"Ultimele data faceti clic pe data 2";S;;T;N
"Extra data 1";"data suplimentare 1";B;;T;N
"Extra data 2";"data suplimentare 2";B;;T;N
"Extra data 3";"data suplimentare 3";S;;T;N
"Extra data 4";"data suplimentare 4";S;;T;N
"Extra data 5";"data suplimentare 5";S;;T;N
"Merchant note";"Nota comerciantului";B;;T;N
"Banner name";"Numele banner-ului";S;merchant;T;N
"Banner preview";"Previzualizarea banner-ului";S;merchant;T;N
"Campaign";"Campanie";B;;T;N
"Target URL";"URL-ul tinta";B;;T;N
"Banner type";"Banner de tip";S;;T;N
"Html data is not defined";"data Html nu este definita";S;;T;N
"File name is not defined";"Numele de fisier nu este definit";S;;T;N
"unknown";"Necunoscut";B;;T;N
"approved";"Aprobat";B;;T;N
"pending";"In asteptarea";B;;T;N
"User Id";"Id-ul de utilizator";S;;T;N
"Payment date";"Data platii";S;;T;N
"Username";"Nume de utilizator";B;;T;N
"Amount";"Suma";B;;T;N
"Note to affiliate";"Nota pentru afiliat";S;;T;N
"Original currency ID";"ID-ul original curent";S;;T;N
"Original currency rate";"Rata etalonului original";S;;T;N
"Original currency value";"Valoarea monedei originale";S;;T;N
"System note";"Nota de sistem";B;;T;N
"Country code";"Prefixul tarii";S;;T;N
"Affiliate first name";"Prenume afiliat";S;;T;N
"Affiliate last name";"Numele afiliat";S;;T;N
"3rd party cookie";"A treia parte de cookie-uri";B;;T;N
"1st party cookie";"Prima parte de cookie-uri";B;;T;N
"Flash cookie";"Flash cookie";B;;N;N
"Forced parameter";"Parametru fortat";B;;T;N
"IP address";"Adresa de IP";B;;T;N
"Default affiliate";"Afiliat defalut";B;;T;N
"Url";"URL-ul";B;;T;N
"Note";"Nota";B;;T;N
"Status does not have allowed value";"Statutul nu are permisa o valoare";S;;T;N
"Selected username already exists";"Numele de utilizator selectat exista deja";S;;T;N
"Failed to change status for %s user(s)";"Nu a reusit sa schimbe statusul pentru utilizatorul %s ";S;;T;N
"Status successfully changed for %s user(s)";"Status schimbat cu succes pentru utilizator %s";S;;T;N
"Password";"Parola";B;;T;N
"Title must be unique";"Titlul trebuie sa fie unic";S;affiliate;T;N
"Selected parent affiliate does not exist";"Afiliatii selectati nu exista";S;;T;N
"Failed loading file %s with error: %s";"Esuarea fisierul %s cu eroarea %s";S;;T;N
"Merchant - New User Signup";"Comerciant - Inregistrare utilizator nou";B;merchant;T;N
"New user signed up";"Utilizator nou inscris";B;merchant;T;N
"Email subject";"Subiectul e-mail-ului";S;merchant;T;N
"Email text";"Textul e-mail-ului";S;merchant;T;N
"Merchant - Affiliate filled Contact us form";"Comerciant afiliat - formularul de contact completat";B;merchant;T;N
"Affiliate filled Contact us form";"Formularul de contact completat";B;merchant;T;N
"Merchant - New Sale / Lead";"Comerciant - Vanzare noua / Instructiune";B;merchant;T;N
"New sale / lead";"vanzare noua / instructiune";B;;T;N
"Affiliate - New User Signup Approved";"Afiliere - Utilizator nou aprobat";B;;T;N
", welcome to our affiliate program";"Bun venit la programul nostru de afiliere";B;;T;N
"Affiliate - New User Signup Before Approval";"Afiliere - Utilizator nou inainte de aprobare";B;;T;N
"Paid amount";"Platit suma de";S;;T;N
"Paid currency";"Moneda platitoare";S;;T;N
"Payout method";"Metoda de plata a compensatiilor";B;;T;N
"Affiliate - On payout";"Afiliere - Pe de plata a compensatiilor";B;;T;N
"Your commissions";"Comisioanele dumneavoastra";B;;T;N
"Affiliate - New Subaffiliate Sale / Lead";"Afiliere - Vanzarea subafiliatilor noi / Instructiune";B;affiliate;T;N
"New subaffiliate sale / lead";"Vanzarea subafiliatilor noi / Instructiune";B;affiliate;T;N
"Affiliate - New Subaffiliate signup";"Afiliere - Inscrierea subafiliatilor noi";B;affiliate;T;N
"New subaffiliate signed up";"Semnarea noilor subafiliati";B;affiliate;T;N
"VAT percentage";"TVA procent";B;;T;N
"VAT number";"Numarul de TVA";B;;T;N
"Registration number";"Numarul de inregistrare";B;;T;N
"VAT part";"Partea de TVA ";B;;T;N
"Payment incl. VAT";"Plata inclusiv TVA";B;;T;N
"Payment excl. VAT";"Plata exclusiv TVA";B;;T;N
"Affiliate - On VAT payout";"Afiliat - cu privire la plata TVA-ului";B;;T;N
"Transaction ID";"ID-ul tranzactiei";S;;T;N
"TotalCost";"Cost total";S;;T;N
"Campaign ID";"ID-ul de campanie";S;;T;N
"Referer URL";"URL-ul referent";S;;T;N
"First click - time";"clic pentru prima data - de timp";S;;T;N
"First click - referer";"clic pentru prima data - referer";S;;T;N
"First click - IP";"clic pentru prima data - IP";S;;T;N
"First click - data1";"clic pentru prima data - data 1";S;;T;N
"First click - data2";"clic pentru prima data - data 2";S;;T;N
"Last click - time";"faceti clic pentru ultima data - timp";S;;T;N
"Last click - referer";"faceti clic pentru ultima data - referer";S;;T;N
"Last click - IP";"ultimul clic - IP";S;;T;N
"Last click - data1";"ultimul clic - data 1";S;;T;N
"Last click - data2";"ultimul clic - data 2";S;;T;N
"Transaction data1";"Tranzactie data 1";S;;T;N
"Transaction data2";"Tranzactie data 2";S;;T;N
"Transaction data3";"Tranzactie data 3";S;;T;N
"Transaction data4";"Tranzactie data 4";S;;T;N
"Transaction data5";"Tranzactie data 5";S;;T;N
"Note to merchant";"Nota catre comerciant";S;;T;N
"Original currency";"Moneda originala";S;;T;N
"Banner does not exist";"Banner-ul nu exista";S;merchant;T;N
"Server error: Unknown type given for BannerForm._save()";"eroare de server: de tip necunoscut pentru Banner-ul Form._save ()";S;merchant;T;N
"Banner was saved";"Banner-ul a fost salvat";S;merchant;T;N
"Imps";"IMPS";S;merchant;T;N
"Clicks";"clicuri";B;;T;N
"CTR";"CTR-ul";S;;T;N
"Order";"Comanda";B;merchant;T;N
"BannersImportExportDescription";"Definitia bannerelor - tine cont ca se importa/exporta doar definitiile, nu si imaginile fizice sau fisiere";B;merchant;T;N
"Campaign does not exist";"Campania nu exista";S;merchant;T;N
"Campaign capping saved";"Campanie plafonata salvata";S;merchant;T;N
"Number of transactions in 'Active until' campaign validity has to be set";"Numarul de tranzactii cu ""Active pana"" trebuie sa fie stabilit";S;merchant;T;N
"There are missing From and To dates for 'Active in date range' campaign validity";"La validitatea campaniei, lipsesc datele ""de la"" si ""pana cand"" pentru date active in interval";S;merchant;T;N
"Commission successfuly computed";"Comisia a calculat cu succes";S;merchant;T;N
"User is not valid!";"Utilizatorul nu este valid!";S;merchant;T;N
"Campaign is not valid!";"Campania nu este valida!";S;merchant;T;N
"Transaction type is not valid or doesn't exist in this campaign!";"Tipul tranzactiei nu este valid sau nu exista in aceasta campanie!";S;merchant;T;N
"Cannot recognize commission group for this user in campaign!";"Nu poate sa recunoasca comanda grupului pentru acest utilizator in campanie!";S;merchant;T;N
"Error getting commission settings!";"Eroare la setarile comenzilor date!";S;merchant;T;N
"Error, for percentage commissions you have to define Total cost!";"Eroare, pentru comisioane procentuale trebuie sa definiti costul total!";S;merchant;T;N
"You cannot deactivate default campaign";"Nu puteti dezactiva campania implicita";S;merchant;T;N
"You cannot delete default campaign";"Nu puteti sterge campania implicita";S;merchant;T;N
"Default";"Lipsa";B;;T;N
"per sale / lead";"pe vanzare / conducere";B;;T;N
"CampaignsImportExportDescription";"Campaniile si valoarea setarilor comenzilor";B;merchant;T;N
"loadCommissionGroups: campaignId is empty";"loadCommissionGroups: campaignId este gol";S;merchant;T;N
"Campaign ID cannot be empty!";"ID-ul de campanie nu poate fi gol!";S;merchant;T;N
"CommissionTypeId (Id) cannot be empty!";"CommissionTypeId (ID) nu poate fi gol!";S;merchant;T;N
"CommissionGroupId cannot be empty!";"CommissionGroupId nu poate fi gol!";S;merchant;T;N
"Commission type does not exist";"Tipul de comanda nu exista";S;merchant;T;N
"Commissions saved successfuly";"Comenzile salvate cu succes";S;merchant;T;N
"Field 'type' does not exist";"Camp ""type"" nu exista";S;merchant;T;N
"Failed to change status";"Nu a reusit sa schimbe statutul";S;merchant;T;N
"Status successfully changed";"Status schimbat cu succes";S;merchant;T;N
"CommissionsImportExportDescription";"Comisioane (tranzactii, comenzi) inregistrate de sistem";B;merchant;T;N
"Affiliate screen";"Afiliere ecran";S;merchant;T;N
"Affiliate panel menu saved";"Meniul panoului de afiliere salvat";S;merchant;T;N
"Error changing default theme";"Eroare la schimbarea temei predefinite";S;merchant;T;N
"Default theme changed";"Tema predefinita schimbata";S;merchant;T;N
"Program name and logo saved";"Numele programului si logo-ul salvat";S;merchant;T;N
"Affiliate signup settings saved";"Setarile de inscriere ale afiliatilor au fost salvate";S;merchant;T;N
"Banner format successfully saved";"Formatul de banner salvat cu succes";S;merchant;T;N
"Cookies settings saved";"Setari cookie-urilor salvate";S;merchant;T;N
"Symbol";"Simbol";B;;T;N
"Precision";"Precizie";B;;T;N
"Where to display";"In cazul in care  afisam";B;;T;N
"Exchange rate";"Curs de schimb valutar";S;;T;N
"NEW";"Nou";B;;T;N
"Currency";"Valuta";B;;T;N
"Fraud protections saved";"Protectiile pentru frauda salvate";S;merchant;T;N
"Logging saved";"Logarea a fost salvata";S;merchant;T;N
"Parameter names saved";"Parametrii de nume au fost salvati";S;merchant;T;N
"Tracking saved";"De urmarire salvate";S;merchant;T;N
"URLs & Directories saved";"URL-urile & Directoarele salvate";S;merchant;T;N
"Affiliates successfully paid";"Afiliatii platiti cu succes";S;merchant;T;N
"Email";"E-mail";B;;T;N
"VAT";"TVA";S;merchant;T;N
"To pay";"A plati";S;merchant;T;N
"Declined";"Refuzat";B;;T;N
"Minimum payout";"Minim de plata a compensatiilor";S;merchant;T;N
"Payout data";"Retragere de date";B;merchant;T;N
"N/A";"N / A";S;merchant;T;N
"New payout option";"Noua optiune de plata";S;merchant;T;N
"New payout option %s";"Noua optiune de plata %s";S;merchant;T;N
"Payout option";"Optiunea de plata ";S;merchant;T;N
"Payout history";"Istoria platilor";S;merchant;T;N
"Date paid";"Data platii";S;merchant;T;N
"Payees";"beneficiarii";S;merchant;T;N
"Total amount";"Suma totala";S;merchant;T;N
"Affiliate note";"Nota afiliata";B;merchant;T;N
"payee";"beneficiar al platii";S;merchant;T;N
"Date";"Data";B;;T;N
"Data 1";"Data 1";B;merchant;N;N
"Data 2";"Data 2";B;merchant;N;N
"Clicks raw";"Click-uri prime";S;;T;N
"Clicks unique";"Click-uri unice";S;;T;N
"Raw clicks older than %s are deleted";"Clicurile mai mari de %s se elimina";S;merchant;T;N
"Failed to delete raw clicks";"Nu a reusit sa stearga clicurile prime";S;merchant;T;N
"Impressions raw";"Impresii prime";S;;T;N
"Impressions unique";"Impresii unice";S;;T;N
"Sales count";"Vanzari conta";S;;T;N
"Table name";"Tabelul numele";S;merchant;T;N
"Records";"Recorduri";S;merchant;T;N
"Total size";"Dimensiunea totala";S;merchant;T;N
"Data size";"Dimensiunea datelor";S;merchant;T;N
"Index size";"Dimensiunea indexului";S;merchant;T;N
"Transaction";"Tranzactie";B;;T;N
"Payout status";"Plata statutul";B;merchant;T;N
"Data 3";"Data 3";B;merchant;N;N
"Data 4";"Data 4";B;merchant;N;N
"Data 5";"Data 5";B;merchant;N;N
"Tracked by";"Urmarite de catre";B;merchant;T;N
"Time";"Timp";B;;T;N
"Click data 1";"Faceti clic pe data 1";B;merchant;T;N
"Click data 2";"Faceti clic pe data 2";B;merchant;T;N
"unpaid";"Neplatit";B;;T;N
"Username must be valid email address";"Numele de utilizator trebuie sa aiba adresa de email valida";S;;T;N
"You have to agree with terms & conditions";"Sunteti de acord cu termenii si conditiile";B;;T;N
"is mandatory";"este obligatorie";B;;T;N
"Payout settings saved";"Setarile pentru plati salvate";S;merchant;T;N
"Affiliate details";"Detaliile de afiliere";B;merchant;T;N
"Date joined";"Data inscrierii";S;;T;N
"Date approved";"Data aprobarii";S;merchant;T;N
"Parent";"Origine";S;merchant;T;N
"Firstname";"Prenumele";B;;T;N
"Lastname";"Nume";B;;T;N
"Parent ID";"ID origine";S;merchant;T;N
"Parent username";"Nume de utilizator original";S;merchant;T;N
"Parent first name";"Prenumele original";S;merchant;T;N
"Parent last name";"Numele original";S;merchant;T;N
"AffiliatesImportExportDescription";"Datele afiliatilor - le puteti folosi pentru a incarca afiliati noi in sistem";B;merchant;T;N
"Status successfully set to selected url(s)";"Statusul a fost stabilit cu succes in url-urile selectate";S;merchant;T;N
"Failed to set status selected url(s)";"Nu si-a stabilit statusul la URL-urile selectate";S;merchant;T;N
"Commission group";"Comanda de grup";B;;T;N
"Commision group";"Comisia de grup";S;merchant;T;N
"Selected commission group(s) are changed";"Comenzile selectate de grup sunt modificate";S;merchant;T;N
"Changes saved";"Modificari salvate";S;;T;N
"Application Name";"Post Pro Afiliere";S;;T;N
"New password URL";"Parola noua a URL-ului";S;;T;N
"Request valid until";"Cerere valabila pana la";S;;T;N
"Request new password";"Solicitati o parola noua";B;;T;N
"Wrong username/password";"numele de utilizator / parola gresit (a)";S;;T;N
"Select account";"Selectati contul";B;;T;N
"Authentication failed";"Autentificarea a esuat";S;;T;N
"User authenticated. Logging in.";"Utilizator autentificat. Autentifica";S;;T;N
"You entered invalid security code";"Ati introdus un cod de securitate invalid";S;;T;N
"You entered invalid username";"Ati introdus un nume de utilizator invalid";S;;T;N
"Your password was changed. Go back to login dialog and login.";"parola dvs. a fost schimbata. Du-te inapoi la autentificare.";S;;T;N
"Logout error";"Iesire de eroare";S;;T;N
"Logout successful";"Iesire de succes";S;;T;N
"Invalid password request. You have to request again new password before trying to set password.";"Invalid cerere parola. Tu trebuie sa solicite din nou noua parola inainte de a incerca pentru a seta parola.";S;;T;N
"User account not approved yet";"Contul de utilizator nu a fost aprobat inca";S;;T;N
"File to export is not defined";"Fisierul de export nu este definit";S;;T;N
"Unsupported";"Neacceptat";S;;T;N
"Import file is not defined";"Fisierul de import nu este definit";S;;T;N
"Export data";"Export de date";B;;T;N
"Data was successfully exported to file %s";"Datele au fost exportate cu succes in fisierul %s";S;;T;N
"File name";"Nume de fisier";B;;T;N
"Modules";"Module";S;;T;N
"Size";"Dimensiune";S;;T;N
"Could not create account. (%s)";"Nu am putut crea cont. (%s)";S;;T;N
"Directory %s is not writable by web server user. Please remove it or set write permissions.";"Directorul %s nu poate fi scris de catre utilizatorul serverului. Va rugam sa il eliminati sau setati-I permisiuni de scriere.";S;;T;N
"Failed to delete %s filter(s)";"Nu a reusit sa stearga filtrul %s.";S;;T;N
"%s filter(s) successfully deleted";"filtrul %s a fost sters cu succes";S;;T;N
"Failed to load default mail account. Please check your mail account settings.";"Nu am putut incarca contul mail-ului implicit. Va rugam sa verificati setarile de mail.";S;;T;N
"View name must be unique";"Numele trebuie sa fie unic";S;;T;N
"Maximum length of %s in %s is %s";"Lungimea maxima a% s in% s este% s";S;;T;N
"Relation constraint";"Relatia constrange";S;;T;N
"must be unique";"trebuie sa fie unic";S;;T;N
"Theme file (theme.php) does not exist for theme %s";"Tematica fisierului (theme.php) nu exista pentru tema %s";S;;T;N
"Error changing theme";"Eroare la schimbarea temei ";S;;T;N
"Theme changed";"Tematica schimbata";S;;T;N
"Failed to delete %s wallpaper(s)";"A esuat in stergerea wallpaper-ului";S;;T;N
"%s wallpaper(s) successfully deleted";"Wallpaper-ul %s sters cu succes";S;;T;N
"Failed to save wallpaper with error %s";"Nu am putut salva wallpaper-ul %s";S;;T;N
"Wallpaper saved.";"Wallpaper salvat";S;;T;N
"Side bar saved";"Bara salvata";S;;T;N
"Windows saved";"Windows salvat";S;;T;N
"Quick Launch saved";"Quick Launch salvat";S;;T;N
"File does not exist";"Fisierul nu exista";S;;T;N
"File was succesfuly uploaded";"Fisierul a fost incarcat cu succes";S;;T;N
"Unsupported gadget";"Gadget nesuportat";S;;T;N
"Gadget";"Gadget";S;;N;N
"Gadget added";"Gadget adaugat";S;;T;N
"Failed to close gadget";"Nu a reusit sa inchida gadget";S;;T;N
"Gadget successfully closed";"Gadget inchis cu succes";S;;T;N
"Docking";"Andocare";S;;T;N
"Gadgets saved";"Gadget-uri salvate";S;;T;N
"Create Account";"Creaza Cont";B;;T;N
"Account is already created.";"Contul este deja creat.";S;;T;N
"Create Database";"Crearea bazei de date";B;;T;N
"Could not create database. %s";"Nu am putut crea baza de date %s";S;;T;N
"doesnt exist's";"nu exista";S;;T;N
"Internal error";"Eroare interna";B;;T;N
"Error during database creation.";"Eroare in timpul crearii bazei de date.";S;;T;N
"OK";"Bine";B;;T;N
"Failed to read headers of CSF file %s";"Nu a reusit sa citeasca antetele fisierului CSF";S;;T;N
"Could not change permissions %s";"nu a putut sa schimbe permisiunile %s";S;;T;N
"Could not open file";"Nu pot deschide fisierul";S;;T;N
"Could not read file";"Nu pot citi fisierul";S;;T;N
"Rewind unsupported in this file stream";"Neacceptat in acest fisier desfasurat";S;;T;N
"File %s does not exist.";"Fisierul %s nu exista.";S;;T;N
"Failed to read file %s";"Nu a putut citi fisierul %s";S;;T;N
"Could not create directory %s";"Nu a putut crea directorul %s";S;;T;N
"Could not open language file %s";"Nu a putut deschide limba fisierul %s";S;;T;N
"Level";"Nivel";S;;T;N
"Message";"Mesaj";B;;T;N
"File";"Fisier";S;;T;N
"Line";"Linie";B;;T;N
"Group ID";"ID-ul grupului";S;;T;N
"Log event";"Jurnalul de evenimente";S;;T;N
"Event(s) are deleted";"Evenimentele sunt sterse";S;;T;N
"No event(s) to delete";"Nici un eveniment sters";S;;T;N
"Debug event(s) are deleted";"Dificultatea evenimentului stearsa";S;;T;N
"No debug event(s) to delete";"Nici un eveniment de sters";S;;T;N
"Mail Account Name";"Numele de cont";S;;T;N
"From Name";"De la nume";B;;T;N
"From Email";"De la e-mail";S;;T;N
"Use SMTP protocol";"Utilizati SMTP protocol";S;;T;N
"SMTP Server";"SMTP Server";B;;N;N
"SMTP Port";"SMTP Port";B;;N;N
"SMTP Authentication";"SMTP autentificare";S;;T;N
"Use SSL connection";"Utilizati conexiunea SSL";S;;T;N
"SMTP Username";"Nume de utilizator SMTP";S;;T;N
"Is default mail account";"Este contul implicit de mail";S;;T;N
"Yes";"Da";B;;T;N
"No";"Nu";B;;T;N
"Email account test mail";"E-mail test";B;;T;N
"Default Mail Account";"Cont de posta electronica implicit";S;;T;N
"Email settings saved";"setarile de e-mail salvate";S;;T;N
"Test mail scheduled, check outbox if it was sent.";"mail de testare programat,  verifica in outbox daca acesta a fost trimis.";S;;T;N
"Failed to restart %s row(s)";"Nu a reusit sa reporneasca";S;;T;N
"%s row(s) successfully restarted";"Linia %s cu succes repornita";S;;T;N
"To recipients";"Destinatarilor";S;;T;N
"Mail subject";"Subiectul mail-ului";S;;T;N
"Scheduled at";"Programata la";S;;T;N
"Last retry";"Ultima reincercare";S;;T;N
"Retry number";"Reincercati numarul";S;;T;N
"Error message";"Mesajul de eroare";S;;T;N
"Account name";"Numele contului";B;;T;N
"Server Date";"Datele Serverului";S;;T;N
"Server Time";"Server de timp";S;;T;N
"Mail template not defined in database for class %s";"Sablonul mail-ului nu este definit in baza de date pentru clasa %s";S;;T;N
"Recipients empty";"Recipiente golite";S;;T;N
"Body of mail not specified";"Corpul mail-ului nu este specificat";S;;T;N
"From address is empty";"De la adresa este gol";S;;T;N
"Failed to init mail headers";"Nu a reusit sa initieze anteturile mail-ului";S;;T;N
"Email transfer method error";"Metoda de transfer a email-ul a dat eroare";S;;T;N
"Application Title";"Post Pro Afiliere";S;;T;N
"Failed to save settings with error %s";"Nu a reusit sa salveze setarile";S;;T;N
"Proxy server settings saved.";"Setarile de server proxy salvate";S;;T;N
"Failed to load proxy server settings.";"Nu a putut incarca setarile serverului proxy.";S;;T;N
"Pdf saved";"Pdf-uri salvate";S;;T;N
"Path to save file '%s' not exist";"Locul pentru a salva fisierul %s nu exista";S;;T;N
"Path to save file %s is null";"Nu se poate salva fisierul %s ";S;;T;N
"Unable to create file %s%s.pdf";"Nu pot crea fisierul %%s.pdf";S;;T;N
"Pdf output: %s";"Randamentul PDF %s";S;;T;N
"Role";"Rol";B;;T;N
"Logged in";"Conectat";S;;T;N
"Last Request";"Ultima Cerere";S;;T;N
"entries";"intrari";S;;T;N
"SettingsImportExportDescription";"Toate setarile de sistem";B;;T;N
"Undefined table name";"Tabel cu nume nedefinit";S;;T;N
"Undefined $option";"Optiune nedefinita";S;;T;N
"Table alias must by defined";"Tabelul trebuie definit";S;;T;N
"equals";"este egal cu";S;;T;N
"not equals";"nu este egal cu";S;;T;N
"is like";"este ca";S;;T;N
"is not like";"nu este ca";S;;T;N
"is greater";"este mai mare";S;;T;N
"is lower";"este mai mica";S;;T;N
"is greater or equal";"este mai mare sau egal ";S;;T;N
