"Time: %s Memory: %s ","Čas: %s Paměť: %s "
"Missing feed layout.","Chybí specifikace feedu."
"Update Feed List","Aktualizovat Seznam Feedů"
"Reload Taxonomy","Aktualizovat Taxonomii"
"Get Help!","Nápověda"
"Number of products loaded from db in one batch","Počet produktů načtených z databáze v jedné dávce"
"Product image folder","Adresář kde jsou uloženy obrázky produktů"
"Debug mode","Debug mode"
"Conditions Disabled Attributes","Atributy zakázané pro filtraci"
"Feed Settings","Nastavení feedů"
"Allow feeds","Povolená feedy"
"Module Configuration","Konfigurace modulu"
"License Key","Licenční klíč"
"Documentation","Dokumentace"
"Enabled:","Aktivní:"
"Attribute filter (leave blank for all products)","Filtr atributů (nechte prázdné pro všechny produkty)"
"Stock filter","Filtr skladu"
"Visibility filter","Filtr viditelnosti"
"General Product Visiblity","Viditelnost proudktu"
"Parent Product Visibility","Viditelnost rodičovského produktu"
"Datetime format","Format času a data"
"Category path delimiter","Oddělovač cesty kategorie"
"Category lowest level","Nejnižší úroveň kategorie"
"Stock status dependence","Závislost stavu skladu"
"Koongo Connector requires data reindex. Please <a href="%s" target="_blank">reindex product and category data.</a>","Koongo Connector vyžaduje reindexaci dat. Prosím <a href="%s" target="_blank">přeindexujte produkty a kategorie ve flat katalogu.</a>"
"Product and category data reindex required.","Je vyžadována reindexace dat produktů a kategorií ve flat katalogu."
"Can't edit profile.","Profil nelze upravovat."
