"# of Use","# van gebruik"
"%1$s incl tax.","%1$s incl.BTW"
"%s - %s","%s - %s"
"%s Item(s)","%s artikel(en)"
"(Copy data from: %s)","(Data kopi&euml;ren van: %s)"
"Related Products","Combineren met"
"Delete","Verwijder"
"Remove Product","Verwijder product"
"Remove","Verwijderen"
"Virtual Product","Virtueel product"
"Visible on Product View Page on Front-end","Visible on Product View Page on Front-end"
"Please add rows to option.","Voeg rijen aan optie toe a.u.b."
"Next","Volgende"
"For internal use. Must be unique with no spaces","Voor intern gebruik. Moet uniek zijn, zonder spaties"
"First Name","Voornaam"
"Inventory","Voorraad"
"Manage Stock","Voorraad beheren"
"Conditions Combination","Voorwaarden combinatie"
"Please be careful as once you click on the row it will load package data form the selected file and all unsaved form data will be lost.","Voorzichtig! Zodra u op een rij klikt, worden de pakketgegevens van het geselecteerde bestand geladen en gaan alle formuliergegevens die niet zijn opgeslagen, verloren!"
"Previous","Vorige"
"Prev","Vorige"
"Pending","Wachtende"
"Watermark","Watermerk"
"Product Image Watermarks","Watermerken voor productenafbeelding"
"Web Site Item Must be checked","Web Site Item Must be checked"
"Web Site Store Must be checked","Web Site Store Must be checked"
"Website","Website"
"Websites","Websites"
"Are you sure?","Weet u het zeker?"
"Are you sure you would like to remove all products from your comparison?","Weet u zeker dat u alle producten uit uw vergelijking wilt verwijderen?"
"Are you sure you want to delete this category?","Weet u zeker dat u deze categorie wilt verwijderen?"
"Are you sure you would like to remove this item from the compare products?","Weet u zeker dat u dit artikel wilt verwijderen van vergelijklijst?"
"Edit","Wijzigen"
"Change","Wijzigen"
"Store","Winkel"
"Shop by","Winkelen per"
"Store View","Winkelzicht"
"Wrong BuyRequest instance in options group","Wrong BuyRequest instance in options group"
"Wrong option instance type in options group","Wrong option instance type in options group"
"Wrong option type to get group instance.","Wrong option type to get group instance."
"Wrong product instance type in options group","Wrong product instance type in options group"
"Wrong quote item instance in options group","Wrong quote item instance in options group"
"Wrong quote item option instance in options group","Wrong quote item option instance in options group"
"x","x"
"Year Range","Year Range"
"Add to Wishlist","Zet op verlanglijst"
"Add to My Wishlist","Zet op verlanglijst"
"Visible","Zichtbaar"
"Visible on Catalog Pages on Front-end","Zichtbaar op cataloguspagina's in front-end"
"Visibility","Zichtbaarheid"
"Search Query","Zoek-query"
"Edit Search '%s'","Zoekactie '%s' wijzigen"
"Delete Search","Zoekactie verwijderen"
"Edit Search","Zoekactie wijzigen"
"Search","Zoeken"
"Search Information","Zoekinformatie"
"Search was successfully deleted","Zoekopdracht is met succes verwijderd"
"Save Search","Zoekopdracht opslaan"
"Search Term was successfully saved","Zoekterm is met succes opgeslagen"
"Search Term with such search query already exist.","Zoekterm met zo'n query bestaat al."
"[GLOBAL]","[GLOBAAL]"
