"Display %s first","%s eerst weergeven"
"Separate email","Afzonderlijke e-mail"
"General Information","Algemene Informatie"
"All","Alle"
"Upgrade All Available Packages","Alle beschikbare pakketten upgraden"
"Upgrade all available packages","Alle beschikbare pakketten upgraden"
"All Files","Alle bestanden"
"All valid rates successfully saved","Alle geldige koersen zijn met succes opgeslagen"
"All rates were fetched, click on ""Save"" to apply","Alle koersen zijn opgehaald, klik op &quot;Opslaan&quot; om te gebruiken"
"All countries","Alle landen"
"All possible rates were fetched, click on ""Save"" to apply","Alle mogelijke koersen zijn opgehaald, klik op &quot;Opslaan&quot; om te gebruiken"
"Upgrade all packages","Alle pakketten upgraden"
"All Tags","Alle tags"
"All Allowed Countries","Alle toegestane landen"
"All fields","Alle velden"
"All Websites","Alle websites"
"All Store Views","Alle winkel-zichten"
"Select Visible","Alle zichtbare selecteren"
"Only mapped fields","Alleen aangegeven velden"
"Only attributes with scope ""Global"", input type ""Dropdown"" and Use To Create Configurable Product ""Yes"" are available.","Alleen attributen met het bereik ""Globaal"", invoertype ""Dropdown"" en Gebruik om configureerbaar product te maken ""JA"" zijn beschikbaar."
"List only","Alleen lijst"
"Switch/Solo Only","Alleen Switch/Solo"
"Grid only","Alleen tabel"
"Select All","Alles selecteren"
"Cancel","Annuleren"
"Credit Memo cancel error.","Annuleringsfout creditnota"
"API Stability","API stabiliteit"
"API Version","API versie"
"Api Key","API-sleutel"
"Api Key Confirmation","API-sleutelbevestiging"
"API:","API:"
"Items","Artikelen"
"SKU","Artikelnummer"
"SKU:","Artikelnummer:"
"Attributes","Attributen"
"Attribute set successfully saved.","Attributen-set is met succes opgeslagen"
"Attribute set was successfully removed.","Attributen-set is met succes verwijderd"
"Choose an attribute","Attribuut kiezen"
"b","b"
"Backup","Back-up"
"Backup record was deleted","Back-up item is verwijderd"
"Backup successfully created","Back-up met succes gemaakt"
"Backups","Back-ups"
"Get Image Base64","Base64-afbeelding ophalen"
"Base currency","Basis-valuta"
"Bcc","Bcc"
"Subtotal Amount","Bedrag subtotaal"
"Amounts","Bedragen"
"Starting profile execution, please wait...","Begin uitvoeren van profiel, wacht a.u.b..."
"Start Date","Begindatum"
"Manage Installed Extensions","Beheer ge&iuml;nstalleerde extensies"
"Manage Customers","Beheer klanten"
"Manage osCommerce Orders","Beheer osCommerce orders"
"Manage osCommerce Profiles","Beheer osCommerce profielen"
"Poll Manager","Beheer poll"
"Manage Ratings","Beheer ratings"
"Url Rewrite Management","Beheer URL-rewrites"
"Manage Stores","Beheer winkels"
"Manage Currency Rates","Beheer wisselkoersen"
"Admin","Beheerder"
"Add Maintainer","Beheerder toevoegen"
"Maintainers","Beheerders"
"Both (without and with tax)","Beide (met en zonder BTW)"
"View Actions XML","Bekijk acties XML"
"View","Bekijken"
"MAJOR","BELANGRIJK"
"major","belangrijk"
"Specific Countries","Bepaalde landen"
"Incoming Message","Bericht ontvangen"
"Messages Inbox","Berichten Inbox"
"NOTICE","BERICHTGEVING"
"Browse Available Extensions","Beschikbare extensies doorbladeren"
"Available Products","Beschikbare producten"
"Available Version","Beschikbare versie"
"Description","Beschrijving"
"File","Bestand"
"Upload File","Bestand uploaden"
"Upload Files","Bestanden uploaden"
"File Information","Bestandsgegevens"
"File size should be more than 0 bytes","Bestandsgrootte zou meer dan 0 bytes moeten zijn"
"Archive file name:","Bestandsnaam archief:"
"Package File Name","Bestandsnaam pakket"
"File name:","Bestandsnaam:"
"Order confirmation email sent","Bestelbevestiging is gemaild"
"Order #%s","Bestelling #%s"
"Order #%s (%s)","Bestelling #%s (%s)"
"Order not longer exist","Bestelling bestaat niet langer"
"Order not longer exist.","Bestelling bestaat niet langer."
"Order Totals","Bestelling totalen"
"Orders","Bestellingen"
"Confirmed email:","Bevestigde email:"
"Password Confirmation","Bevestiging wachtwoord"
"Uninstalling $pkg, please wait...","Bezig met de-installeren van $pkg, wacht a.u.b..."
"Uninstalling selected packages, please wait...","Bezig met de-installeren van geselecteerde pakketten, wacht a.u.b..."
"Downloading and installing $pkg, please wait...","Bezig met downloaden en installeren van $pkg, wacht a.u.b."
"Installing $pkg, please wait...","Bezig met installeren van $pkg, wacht a..ub..."
"Installing selected packages, please wait...","Bezig met installeren van geselecteerde pakketten, wacht a.u.b..."
"Loading...","Bezig met laden..."
"Upgrading $pkg, please wait...","Bezig met upgraden van $pkg, wacht a.u.b..."
"Upgrading all available packages, please wait...","Bezig met upgraden van alle beschikbare pakketten, wacht a.u.b..."
"Upgrading selected packages, please wait...","Bezig met upgraden van alle geselecteerde pakketten, wacht a.u.b..."
"Upgrading all packages, please wait...","Bezig met upgraden van alle pakketten, wacht a.u.b..."
"Preparing to change $pkg, please wait...","Bezig met voorbereiden met veranderen van $pkg, wacht a.u.b..."
"Running:","Bezig met:"
"For latest version visit: %s","Bezoek %s voor de laatste versie"
"Browse Files...","Blader door bestanden..."
"Browse Available Remote Extensions","Blader door extensies op afstand"
"Block Information","Blok informatie"
"Resources","Bronnen"
"Tax","BTW"
"Bundle Items","Bundel-artikelen"
"Images Cache","Cache van afbeeldingen"
"Image cache was cleared successfully","Cache van afbeeldingen is met succes geleegd."
"Cache Management","Cache-beheer"
"Cache Control","Cache-beheer"
"Cache Control (beta)","Cache-instellingen (beta)"
"Save cache settings","Cache-instellingen opslaan"
"Catalog","Catalogus"
"Catalog Rewrites","Catalogus Rewrites"
"Catalog Rewrites were refreshed successfully","Catalogus Rewrites is met succes ververst."
"Catalog Rewrites was refreshed successfully","Catalogus Rewrites is met succes ververst."
"CatalogInventory Stock Status was rebuilt successfully","Catalogus voorraad status is succesvol herbouwd."
"CatalogInventory Stock Status rebuild error. Please try again later","Catalogus voorraad status opbouw fout. Probeer het later nog eens."
"Category","Categorie"
"Select Category","Categorie selecteren"
"Category:","Categorie:"
"Skip category selection","Categorieselectie overslaan"
"Rotate CCW","CCW draaien"
"Checkbox","Checkbox"
"Configuration","Configuratie"
"Configuration successfully saved","Configuratie met succes opgeslagen"
"Save Config","Configuratie opslaan"
"Conflicts","Conflicten"
"Add Contents Path","Content-pad toevoegen"
"Cookie (Unsafe)","Cookie (Onveilig)"
"Credit Card Number","Creditcard Nummer"
"Credit Card Number: xxxx-%s","Creditcard-nummer: xxxx-%s"
"Credit Card Type","Creditcard-type"
"Credit Card Type: %s","Creditcard-type: %s"
"Credit Memo #%s created","Creditnota #%s gemaakt"
"Credit Memo History","Creditnota geschiedenis"
"Credit Memo was successfully created","Creditnota is met succes aangemaakt."
"Credit Memo was successfully canceled.","Creditnota is met succes geannuleerd."
"Credit Memo was successfully voided","Creditnota is met succes verwijderd."
"CSV","CSV"
"CSV / Tab separated","CSV / Tab-gescheiden"
"Export CSV","CSV exporteren"
"Rotate CW","CW draaien"
"Day","Dag"
"Dashboard","Dashboard"
"Date","Datum"
"Date & Time","Datum & Tijd"
"Date Updated","Datum bijgewerkt"
"Select date","Datum selecteren"
"Select Date","Datum selecteren"
"Date Added","Datum toegevoegd"
"Date:","Datum:"
"Date selection:","Datumkeuze:"
"Date selector","Datumkiezer"
"Create DB Backup","DB-backup aanmaken"
"The information in this tab has been changed.","De informatie in deze tab is gewijzigd."
"Your server PHP settings allow you to upload files not more than %s at a time. Please modify post_max_size (currently is %s) and upload_max_filesize (currently is %s) values in php.ini if you want to upload larger files.","De PHP-instellingen van uw server staan niet toe om files  te uploaden die groter zijn dan %s. Wijzig de waarden van post_max_size (nu %s) en upload_max_filesize (nu %s) in php.ini als u grotere files wilt uploaden."
"Poll was successfully saved","De poll is met succes opgeslagen"
"Poll was successfully deleted","De poll was met succes verwijderd"
"Uninstall","De-installeren"
"Unselect All","De-selecteer alle"
"Unselect Visible","De-selecteer zichtbare"
"Decimal separator:","Decimaal scheidingsteken:"
"Samples","Demo's"
"This attribute set don't have attributes which we can use for configurable product","Deze attributenenset heeft geen attributen die we kunnen gebruiken voor een configureerbaar product."
"This user no longer exists","Deze gebruiker bestaat niet meer."
"This section is not allowed.","Deze sectie is niet toeganglijk."
"This tab contains invalid data. Please solve the problem before saving.","Deze tab bevat ongeldige data. Los dit probleem op voordat u opslaat."
"DHTML Date/Time Selector","DHTML datum/tijd-kiezer"
"Instant Payment Notification (IPN)","Direct Betaal Bericht (DBB) of (IPN)"
"This account is","Dit account is"
"This attribute shares the same value in all the stores","Dit attribuut heeft dezelfde waarde in alle winkels"
"This is a required field.","Dit is een verplicht veld."
"This product is currently disabled","Dit product is momenteel geblokkeerd"
"Target Path","Doelpad"
"Redirect","Doorsturen"
"Global Record Search","Doorzoek de hele site"
"Download and Install","Downloaden en installeren"
"Drop-down","Drop-down"
"Email","E-mail"
"Email address is empty.","E-mail adres is leeg."
"Order confirmation email not sent","E-mail met orderbevestiging is niet verzonden"
"Email to a Friend","E-mail naar een vriend"
"Edit Email Template","E-mail template bewerken"
"User Email","E-mail van gebruiker"
"Email Preview","E-mail voorbeeld"
"Email:","E-mail:"
"Email Address:","E-mailadres:"
"Toggle Editor","Editor gebruiken"
"Bundle with dynamic pricing cannot include custom defined options. Options will not be saved.","Een bundel met dynamische prijzen kan geen eigen opties bevatten. Opties worden niet opgeslagen."
"One of options row has error","Een van de optie rijen heeft een fout"
"Comments History","Eerdere notities"
"Grand Total","Eindtotaal"
"Any Type","Elk type"
"Any","Elke"
"Any Group","Elke groep"
"Any Status","Elke status"
"Any Store","Elke winkel"
"Any Visibility","Elke zichtbaarheid"
" and ","en"
"Switch/Solo/Maestro(UK Domestic) Only","Enkel Switch/Solo/Maestro(UK binnenland)"
"Entity Type","Entiteittype"
"Entity type:","Entiteittype:"
"Customer with the same email already exists.","Er is al een klant met hetzelfde e-mail adres."
"A new password was sent to your email address. Please check your email and click Back to Login.","Er is een nieuw wachtwoord naar u toe gestuurd. Controleer uw email, klik op Terug en log in."
"Excl. Tax","Excl. BTW"
"Export","Exporteren"
"Export to:","Exporteren naar:"
"Export:","Exporteren:"
"Extension","Extensie"
"Remote Extension Info","Extensie informatie op afstand"
"Extension Name","Extensienaam"
"Create Extension Package","Extensiepakket aanmaken"
"Extensions","Extensies"
"Download Remote File","Extern bestand downloaden"
"Remote FTP","Extern FTP"
"Remote URL:","Externe URL"
"Invoice #%s created","Factuur #%s gemaakt"
"Invoice and shipment was successfully created.","Factuur en verzending met succes aangemaakt"
"Invoice was successfully created.","Factuur is met succes aangemaakt."
"Invoice was successfully canceled.","Factuur is met succes geannuleerd"
"Invoice was successfully captured","Factuur is met succes ge�nd."
"Invoice was successfully voided","Factuur is met succes verwijderd."
"Invoice void error","Factuur verwijderingsfout"
"Invoice History","Factuur-geschiedenis"
"Invoice Totals","Factuur-totalen"
"Billing address","Factuuradres"
"Billing Address","Factuuradres"
"Export Filters","Filters exporteren"
"Flat Catalog Category rebuild error","Flat Catalog Category rebuild error"
"Flat Catalog Category was rebuilt successfully","Flat Catalog Category was rebuilt successfully"
"Flat Catalog Product rebuild error. Please try again later","Flat Catalog Product rebuild error. Please try again later"
"Flat Catalog Product was rebuilt successfully","Flat Catalog Product was rebuilt successfully"
"Invoice cancel error.","Fout bij het annuleren van de factuur"
"Invoice capture error","Fout bij het innen van de factuur"
"Error while saving this configuration: ","Fout bij het opslaan van deze configuratie:"
"Error uploading the file","Fout bij uploaden van bestand"
"Error while finished process. Please refresh cache","Fout tijdens het afronden van het proces. Vernieuw uw cache."
"Error while cleared Image cache. Please try again later","Fout tijdens het legen van de afbeeldingscache. Probeer het later nog eens."
"Error while saving this role. Please try again later.","Fout tijdens het opslaan van deze rol. Probeer het later nog eens"
"Error while saving account. Please try again later","Fout tijdens het opslaan van het account. Probeer het later nog eens."
"Error while saving account. Please check all required fields","Fout tijdens het opslaan. Controleer alle verplichte velden."
"Error while refreshed Catalog Rewrites. Please try again later","Fout tijdens het vernieuwen van de Catalogus Rewrites.  Probeer het later opnieuw."
"Error while refreshed Layered Navigation Indices. Please try again later","Fout tijdens het vernieuwen van de Gelaagde Navigatie.  Probeer het later opnieuw."
"Error while create backup. Please try again later","Fout tijdens maken van back-up. Probeer het later nog eens."
"Error while updating selected review(s). Please try again later.","Fout tijdens updaten van geselecteerde review(s). Probeer het later nog eens."
"Error while deleting this role. Please try again later.","Fout tijdens verwijderen van deze rol. Probeer het later nog eens."
"Error while deleting this set.","Fout tijdens verwijderen van deze set."
"from","from"
"FTP Host[:Port]","FTP Host[:Poort]"
"Guest","Gast"
"Installed As","Ge&iuml;nstalleerd als"
"Installed Extension Info","Ge&iuml;nstalleerde extensiegegevens"
"Installed Version","Ge&iuml;nstalleerde versie"
"Advanced Profiles","Geavanceerde profielen"
"Area","Gebied"
"Please use numbers only in this field. please avoid spaces or other characters such as dots or commas.","Gebruik a.u.b. alleen getallen in dit veld, vermijd spaties of andere tekens zoals punten en komma's"
"Please use only letters (a-z) or numbers (0-9) only in this field. No spaces or other characters are allowed.","Gebruik alleen letters (a-z) of getallen (0-9) in dit veld. Spaties en andere tekens zijn niet toegestaan"
"Please use only letters (a-z) or numbers (0-9) or spaces and # only in this field.","Gebruik alleen letters (a-z), getallen (0-9), spaties of # in dit veld."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Gebruik dd/mm/jjjj als datum-formaat. Bijvoorbeeld 17/03/2006 voor 17 maart 2006."
"Please use in this field only ""a-z,0-9,_"".","Gebruik in dit veld uitsluitend  ""a-z,0-9,_""."
"Please use letters only (a-z) in this field.","Gebruik uitsluitend letters (a-z) in dit veld."
"User","Gebruiker"
"Edit User '%s'","Gebruiker '%s'"
"Edit User","Gebruiker bewerken"
"User was successfully saved","Gebruiker is met succes opgeslagen"
"User was successfully deleted","Gebruiker is met succes verwijderd"
"User with the same User Name or Email aleady exists","Gebruiker met zelfde gebruikersnaam of e-mailadres bestaat al"
"Save User","Gebruiker opslaan"
"Delete User","Gebruiker verwijderen"
"User ID","Gebruiker-ID"
"User Info","Gebruiker-info"
"User Information","Gebruikergegevens"
"Users","Gebruikers"
"User Name","Gebruikersnaam"
"User name","Gebruikersnaam"
"User Name:","Gebruikersnaam:"
"Done by:","Gedaan door:"
"Done By:","Gedaan door:"
"Please enter a number greater than 0 in this field.","Geef a.u.b. een getal groter dan 0 op in dit veld"
"Please specify at least start or end date.","Geef a.u.b. tenminste een start- of einddatum op."
"Please specify admin custom URL","Geef een eigen admin-URL op"
"Please enter a valid social security number. For example 123-45-6789.","Geef een geldig burger-service-nummer op a.u.b. Bijvoorbeeld 123-45-6789."
"Please enter a valid credit card number.","Geef een geldig creditcard-nummer op a.u.b."
"Please enter a valid email address. For example johndoe@domain.com.","Geef een geldig e-mail adres op a.u.b. Bijvoorbeeld: iemand@mail.com ."
"Please enter a valid number in this field.","Geef een geldig getal op in dit veld."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Geef een geldig telefoonnummer op. Bijvoorbeeld (123) 456-7889 of 123-456-7890"
"Please enter a valid date.","Geef een geldige datum op a.u.b."
"Please enter a valid zip code.","Geef een geldige postcode op."
"Please enter a valid URL. For example http://www.example.com or www.example.com","Geef een geldige URL op. Bijvoorbeeld http://www.example.com of www.example.com"
"Please enter a valid URL. http:// is required","Geef een geldige URL op. http:// is noodzakelijk"
"Please enter a valid value from list","Geef een geldige waarde op uit de lijst"
"Please enter a valid value, ex: 10,20,30","Geef een geldige waarde op, bijv.: 10,20,30"
"Return Html Version","Geef HTML-versie terug"
"Please enter 6 or more characters.","Geef meer dan 6 tekens op a.u.b."
"None","Geen"
"No Extensions Found","Geen extensies gevonden"
"No Data Found","Geen gegevens gevonden"
"No profile","Geen profiel"
"No profile loaded...","Geen profiel geladen..."
"No records found for this period.","Geen records gevonden voor deze periode."
"No records found.","Geen records gevonden."
"No Templates Found","Geen templates gevonden"
"No change","Geen wijziging"
"No search modules registered","Geen zoek-modules geregistreerd"
"No search keywords.","Geen zoektermen."
"Current Release Information","Gegevens huidige release"
"Save data and Create Package","Gegevens opslaan en pakket aanmaken"
"Package %s data was successfully loaded","Gegevens van pakket %s zijn met succes geladen"
"Data Format","Gegevensformaat"
"Data transfer:","Gegevensoverdracht:"
"Shipping method selection is not applicable","Gekozen verzendwijze is niet toepasbaar"
"Layered Navigation Indices were refreshed successfully","Gelaagde navigatie met succes geherindexeerd"
"Layered Navigation Indices was refreshed successfully","Gelaagde navigatie met succes geherindexeerd"
"Provided Files","Geleverde bestanden"
"Average Orders","Gemiddeld aantal orders"
"Average Order Amount","Gemiddeld bestelbedrag"
"minor","gering"
"items selected","Geselecteerde artikelen"
"Selected base currency is not available in installed currencies","Geselecteerde basis-valuta is niet beschikbaar in de ge&iuml;nstalleerde valuta's"
"Selected default display currency is not available in installed currencies","Geselecteerde standaard-weergavevaluta is niet beschikbaar in de ge&iuml;nstalleerde valuta's"
"Selected default display currency is not available in allowed currencies","Geselecteerde standaard-weergavevaluta is niet beschikbaar in de toegestane valuta's"
"Selected allow currency ""%s"" is not available in installed currencies","Geselecteerde toegestane valuta &quot;%s&quot; is niet beschikbaar in de ge&iuml;nstalleerde valuta's"
"Request Path","Gevraagd Pad"
"Gb","Gigabyte"
"Global Attribute","Globaal attribuut"
"Google Base","Google Base"
"Google Base Items","Google Base Items"
"Group:","Groep:"
"Resize","Grootte aanpassen"
"Size for %s","Grootte voor %s"
"Big Image","Grote afbeelding"
"Pending Tags","Hangende tags"
"All Cache","Hele cache"
"Help Us Keep Magento Healthy - Report All Bugs","Help Magento gezond te houden. Meld alle bugs."
"Rebuild","Herindexeren"
"Reset","Herstellen"
"The archive can be uncompressed with <a href=""%s"">%s</a> on Windows systems","Het archief kan uitgepakt worden met <a href=""%s"">%s</a> op Windows systemen."
"Home","Home"
"- Hold mouse button on any of the above buttons for faster selection.","Houd muisknop vast op een knop hierboven voor snelle selectie"
"HTTP (unsecure)","HTTP (onveilig)"
"HTTPS (SSL)","HTTPS (SSL)"
"Get help for this page","Hulp voor deze pagina"
"Tools","Hulpmiddelen"
"ID","ID"
"ID Path","ID pad"
"Any Attribute Set","Iedere attributen-set"
"images/logo.gif","images/logo.gif"
"Import/Export Profile","Import/Export-profiel"
"Upload import file","Importbestand uploaden"
"Import","Importeren"
"Import/Export","Importeren/Exporteren"
"Import/Export Advanced","Importeren/Exporteren geavanceerd"
"In","In"
"In File:","In bestand:"
"In Database:","In database:"
"{{base_url}} is not recommended to use in a production environment to declare the Base Unsecure Url / Base Secure Url. It is highly recommended to change this value in your Magento <a href=""%s"">configuration</a>.","In de site die u live zet, kunt u {{base_url}} beter niet als uw veilige of onveilig basis-URL gebruiken. We raden u met klem aan om deze waarde te veranderen in uw Magento <a href=""%s"">configuratie</a>."
"Queued... Cancel","In de wachtrij... Annuleren"
"Total of %d record(s) were successfully updated","In totaal is/zijn er %s record(s) met succes bijgewerkt"
"Total of %d record(s) were successfully deleted","In totaal is/zijn er %s record(s) met succes verwijderd"
"Total %d records found","In totaal zijn er %d records gevonden"
"Inactive","Inactief"
"Incl. Tax","Incl. BTW"
"Layered Navigation Indices","Indexen van gelaagde navigatie"
"Layered Navigation indexing queued","Indexeren van gelaagde navigatie in wachtrij gezet"
"Individual Item","Individueel item"
"Logged in as %s","Ingelogd als %s"
"Enabled","Ingeschakeld"
"Contents","Inhoud"
"Revenue","Inkomsten"
"Login","Inloggen"
"Enable","Inschakelen"
"Include","Insluiten"
"Pending installation...","Installatie in wachtrij..."
"Install","Installeren"
"Interactive","Interactief"
"Interface Locale: %s","Interface-lokalisatie: %s"
"Invalid Form Key. Please refresh the page.","Invalid Form Key. Please refresh the page."
"Invalid Secret Key. Please refresh the page.","Invalid Secret Key. Please refresh the page."
"IP Address","IP-adres"
"Finished items creation.","Items aanmaken beëindigd."
"Yes","Ja"
"Yes (only price with tax)","Ja (alleen prijzen incl. BTW)"
"Prev. year (hold for menu)","Jaar terug (vasthouden=menu)"
"Card Verification Number","Kaart-verificatienummer"
"Unable to save Cron expression","Kan Cron-expressie niet opslaan"
"Can not update item qty","Kan de artikel-hoeveelheid niet veranderen."
"Can not save credit memo","Kan de creditnota niet opslaan."
"Can not save invoice","Kan de factuur niet opslaan."
"Can not load track with retrieving identifier.","Kan de tracking niet laden voor de ontvangende identifier."
"Can not send shipment information.","Kan de verzendgegevens niet versturen."
"Can not save shipment.","Kan de zending niet opslaan."
"Can not do credit memo for order","Kan geen creditnota maken voor de order."
"Can not retrieve tracking number detail.","Kan geen details ophalen van tracking-nummer."
"Can not do invoice for order","Kan geen factuur maken voor de bestelling."
"Unable to find a user to delete","kan geen gebruiker vinden om te verwijderen"
"Unable to initialize import model","Kan geen import-model initialiseren"
"Can not add new comment.","Kan geen nieuwe notitie toevoegen."
"Unable to find a poll to delete","Kan geen poll vinden om te verwijderen"
"Unable to find a tag to delete","Kan geen tag vinden om te verwijderen"
"Can not add tracking number.","Kan geen tracking-nummer toevoegen."
"Can not do shipment for order.","Kan geen verzending aanmaken voor de bestelling."
"Can't find email address.","Kan het email adres niet vinden."
"Can not delete tracking number.","Kan het tracking-nummer niet verwijderen."
"Can't delete design change","Kan ontwerp-verandering niet verwijderen."
"Can not initialize shipment for adding tracking number.","Kan verzending niet starten bij het toevoegen van het tracking-nummer."
"Can not initialize shipment for delete tracking number.","Kan verzending niet starten bij het verwijderen van het tracking-nummer."
"Channel","Kanaal"
"Channel:","Kanaal:"
"Kb","Kb"
"Shipping address selection is not applicable","Keuze van afleveradres is niet toepasbaar"
"Finished profile execution.","Klaar met uitvoeren van profiel."
"Customer","Klant"
"Customer was successfully saved","Klant is met succes opgeslagen"
"Customer was deleted","Klant is verwijderd"
"Customer Since:","Klant sinds:"
"Customers","Klanten"
"Customer Group:","Klantengroep:"
"Customer Name","Klantnaam"
"Failed to load %1$s.xml or %1$s.ser","Kon %1$s.xml or %1$s.ser niet laden"
"Failed to add a product to cart by id ""%s""","Kon geen product toevoegen aan winkelwagen met id “%s”"
"Discount Amount","Kortinggrootte"
"Coupons","Kortingsbonnen"
"Coupon Code","Kortingscode"
"CRITICAL","KRITIEK"
"critical","kritiek"
"Last Logged In:","Laatst ingelogd"
"Last Logged In (%s):","Laatst ingelogd (%s):"
"Last 24 hours","Laatste 24 uur"
"Last 5 Orders","Laatste 5 bestellingen"
"Last 5 Search Terms","Laatste 5 zoektermen"
"Last 7 days","Laatste 7 dagen"
"Latest Message:","Laatste bericht:"
"Last Month","Laatste maand"
"Last Name:","Laatste naam:"
"Updated At","Laatste wijziging"
"Country","Land"
"Country:","Land:"
"Leave empty to use tax identifier","Leeg laten om BTW-identifier te gebruiken"
"Read details","Lees details"
"Clear","Legen"
"Warning: Please don't close window during importing/exporting data","LET OP! Dit venster NIET sluiten tijdens het importeren/exporteren van data, a.u.b."
"Warning! Empty value can cause problems with CSV format.","LET OP! Lege waarde kan problemen veroorzaken met het CSV-formaat."
"Shipment #%s created","Levering #%s aangemaakt"
"Shipment History","Levering Geschiedenis"
"License","Licentie"
"License URI","Licentie URI"
"License:","Licentie:"
"List (default) / Grid","Lijst (standaard) / tabel"
"Links","Links"
"Log into Magento Admin Page","Log in op het Admin Panel"
"Log in to Admin Panel","Log in op het Admin Panel"
"Log Out","Log uit"
"Upload Local File","Lokaal bestand uploaden"
"Upload local file:","Lokaal bestand uploaden:"
"Load local Package","Lokaal pakket laden"
"Local Server","Lokale server"
"Local/Remote Server","Lokale/externe server"
"Locale","Lokalisatie"
"Create a backup","Maak een backup"
"Create New Staging Store View","Maak nieuwe Staging winkelinzicht aan"
"Month","Maand"
"Prev. month (hold for menu)","Maand terug (vasthouden=menu)"
"Magento Commerce - Administrative Panel","Magento Commerce – Site-beheer"
"Magento Connect","Magento Connect"
"Magento Connect Manager","Magento ConnectManager"
"Magento is a trademark of Irubin Consulting Inc. DBA Varien. Copyright &copy; %s Irubin Consulting Inc.","Magento is een handelsmerk van Irubin Consulting Inc. DBA Varien. Copyright &copy; %s Irubin Consulting Inc."
"Magento Logo","Magento Logo"
"Magento Admin","Magento Site-beheer"
"Magento ver. %s","Magento versie %s"
"Magento&trade; is a trademark of Irubin Consulting Inc. DBA Varien.<br/>Copyright &copy; %s Irubin Consulting Inc.","Magento&trade; is een handelsmerk van Irubin Consulting Inc. DBA Varien.<br/>Copyright &copy; %s Irubin Consulting Inc."
"Mapping Configuration","Mapping Configuration"
"Max","Max"
"Maximum","Maximum"
"Mb","Mb"
"md5sum","md5sum"
"Media (.avi, .flv, .swf)","Media (.avi, .flv, .swf)"
"Multiple Select","Meervoudige selectie"
"Most Viewed Products","Meest bekeken producten"
