"Transsmart Shipping","Transsmart verzending"
"One ore more shipments could not be printed: %s","Eén of meer zendingen konden niet geprint worden: %s"
"Successfully printed %s Transsmart shipments.","Succesvol %s Transsmart zendingen geprint."
"There are no Transsmart documents related to selected order(s).","Er zijn geen Transsmart documenten gerelateerd aan de geselecteerde bestelling(en)."
"There are no Transsmart documents related to selected shipment(s).","Er zijn geen Transsmart documenten gerelateerd aan de geselecteerde zending(en)."
"There are no Transsmart documents or shipping labels related to selected order(s).","Er zijn geen Transsmart documenten of verzendlabels gerelateerd aan de geselecteerde bestelling(en)."
"There are no Transsmart documents or shipping labels related to selected shipment(s).","Er zijn geen Transsmart documenten of verzendlabels gerelateerd aan de geselecteerde zending(en)."
"Open late","Laat open"
"Open early","Vroeg open"
"Open on sunday","Zondag open"
"No shipments can be created for the selected order(s).","Er kunnen geen zendingen aangemaakt worden voor de geselecteerde bestelling(en)."
"Create New Shipment(s) for Order(s)","Nieuwe zending(en) aanmaken voor bestelling(en)"
"Transsmart Shipping Details","Eigenschappen Transsmart zending"
"Determine Automatically","Automatisch bepalen"
"Use Configured Default","Gebruik geconfigureerde standaardwaarde"
"Summary","Samenvatting"
"Selected Orders","Geselecteerde bestellingen"
"Shipments To Create","Aan te maken zendingen"
"The shipment can be tracked <a href=""%s"">here</a>","De zending kan <a href=""%s"">hier</a> gevolgd worden"
"The shipment is carried by %s and can be tracked <a href=""%s"">here</a>.","De zending wordt vervoerd door %s en kan <a href=""%s"">hier</a> gevolgd worden."
"One or more selected orders have changed. Please confirm.","Één of meer geselecteerde bestellingen zijn gewijzigd. Bevestig a.u.b."
"Error creating shipment for order #%s: %s","Kan geen zending aanmaken voor bestelling #%s: %s"
"Successfully created %s shipment(s)!","Succesvol %s zending(en) aangemaakt!"
"Track & Trace","Track & Trace"
"View","Bekijk"
"Monday","Maandag"
"Tuesday","Dinsdag"
"Wednesday","Woensdag"
"Thursday","Donderdag"
"Friday","Vrijdag"
"Saturday","Zaterdag"
"Sunday","Zondag"
"Closed","Gesloten"
"No pickup locations found.","Geen afhaallocaties gevonden."
"Error loading pickup location selector. Please try again.","Fout bij laden van afhaallocatie kiezer. Probeer het nogmaals."
"Search did not succeed. Please try again.","Zoeken is niet gelukt. Probeer het nogmaals."
"Please add at lease one package.","Voeg ten minste één regel toe alstublieft."
"Please note! The carrier profile will be changed. This change will NOT be made to the Magento order. This could affect the calculated shipping costs and tracking and tracing emails. Do you want to continue?","Let op! Het vervoerdersprofiel wordt nu gewijzigd. Deze wijziging wordt NIET doorgevoerd in de Magento bestelling. Dit heeft mogelijk invloed op de berekende verzendkosten en tracking en tracing mails. Wilt u doorgaan?"
"This does not affect shipments using a pickup option.","Heeft geen invloed op zendingen met een afhaaloptie."
"Executing Carrier","Uitvoerende vervoerder"
"Transsmart Carrier Profile Id","Transsmart Vervoerdersprofiel Id"
"Invalid Transsmart Carrier Profile Id ""%s"" in the Row #%s.","Ongeldig Transsmart vervoerdersprofiel Id ""%s"" in regel #%s."
"Duplicate Row #%s (Country ""%s"", Region/State ""%s"", Zip ""%s"", Value ""%s"" and Transsmart Carrier Profile Id ""%s"").","Dubbele regel #%s (Land ""%s"", Regio/Staat ""%s"", Postcode ""%s"", Waarde ""%s"" en Transsmart vervoerdersprofiel Id ""%s"")."
"Transsmart extension enabled. This means you can use the extra column 'Transsmart Carrier Profile Id' in the CSV file, and multiple rows with the same value are allowed if they have different Carrier Profile Id's.","Transsmart extensie ingeschakeld. Dit betekent dat u de extra kolom 'Transsmart Vervoerdersprofiel Id' in het CSV-bestand kunt gebruiken, en meerdere regels met dezelfde waarde zijn toegestaan indien ze verschillende vervoerdersprofiel Id's hebben."
