"%s already exists","%s bestaat al"
"%s already exist","%s bestaat al"
"Prototype Deprecation Log","'Prototype depreciation log'"
"Translate cache should be disabled for both Frontend and Admin inline translations","De vertaal-cache moet uit staan voor zowel Frontend als Admin"
"Website code should contain only letters (a-z), numbers (0-9) or underscore(_), first character should be a letter","De Website-code mag alleen bestaan uit letters (a-z), cijfers (0-9) or underscores (_). Het eerste teken moet een letter zijn"
"Debug","Debuggen"
"Please define flag code.","Definieer 'flag code' a.u.b."
"This category and all its child elements","Deze categorie en alle sub-elementen (""children"")"
"This category and its products only","Deze categorie en de producten erin"
"This category and its child categories only","Deze categorie en de sub-categorie&euml;n"
"This website cannot be deleted","Deze website kan niet worden verwijderd"
"This website cannot be deleted.","Deze website kan niet worden verwijderd"
"This store cannot be deleted","Deze winkel kan niet worden verwijderd"
"This store cannot be deleted.","Deze winkel kan niet worden verwijderd"
"This is a required field.","Dit is een verplicht veld."
"This store view cannot be deleted","Dit winkelzicht kan niet worden verwijderd"
"This store view cannot be deleted.","Dit winkelzicht kan niet worden verwijderd"
"This will be displayed just before body closing tag","Dit wordt pal voor de 'closing tag' getoond"
"This will be included before head closing tag in page HTML","Dit wordt voor de eind-tag van de head ingevoegd in de pagina-HTML"
"Miscellaneous HTML","Diverse HTML"
"Miscellaneous scripts","Diverse scripts"
"Store Email Addresses","E-mailadressen van winkel"
"First Day of Week","Eerste dag van de week"
"Custom email 1","Eigen e-mail 1"
"Custom email 2","Eigen e-mail 2"
"Custom Design","Eigen ontwerp"
"Footer","Footer"
"Wrong number of arguments for %s","Fout aantal argumenten voor %s"
"Error in file: ""%s"" - %s","Fout in bestand: ""%s"" - %s"
"Error while saving. Please try again later.","Fout tijdens opslaan. Probeer later opnieuw a.u.b."
"Error: Passwords do not match","Fout: wachtwoorden kloppen niet"
"Advanced","Geavanceerd"
"Please use numbers only in this field. please avoid spaces or other characters such as dots or commas.","Gebruik a.u.b. alleen getallen in dit veld, vermijd spaties of andere tekens zoals punten en komma's"
"Please use only letters (a-z) or numbers (0-9) only in this field. No spaces or other characters are allowed.","Gebruik alleen letters (a-z) of getallen (0-9) in dit veld. Spaties en andere tekens zijn niet toegestaan"
"Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Gebruik alleen letters (a-z), cijfers (0-9) en underscores (_) in dit veld. Het eerste teken moet een letter zijn."
"Please use only letters (a-z) or numbers (0-9) or spaces and # only in this field.","Gebruik alleen letters (a-z), getallen (0-9), spaties of # in dit veld."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Gebruik dd/mm/jjjj als datum-formaat. Bijvoorbeeld 17/03/2006 voor 17 maart 2006."
"Use custom admin URL","Gebruik eigen admin-URL"
"Please use letters only (a-z or A-Z) in this field.","Gebruik uitsluitend letters  (a-z en A-Z) in dit veld."
"Please use letters only (a-z) in this field.","Gebruik uitsluitend letters (a-z) in dit veld."
"Use Secure URLs in Admin","Gebruik veilige URL’s in admin"
"Use Secure URLs in Frontend","Gebruik veilige URL’s in front-end"
"Use Web Server Rewrites","Gebruik webserver-rewrites"
"Please enter a number greater than 0 in this field.","Geef a.u.b. een getal groter dan 0 op in dit veld"
"Please enter a valid social security number. For example 123-45-6789.","Geef een geldig burger-service-nummer op a.u.b. Bijvoorbeeld 123-45-6789."
"Please enter a valid credit card number.","Geef een geldig creditcard-nummer op a.u.b."
"Please enter a valid email address. For example johndoe@domain.com.","Geef een geldig e-mail adres op a.u.b. Bijvoorbeeld: iemand@mail.com ."
"Please enter a valid number in this field.","Geef een geldig getal op in dit veld."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Geef een geldig telefoonnummer op. Bijvoorbeeld (123) 456-7889 of 123-456-7890"
"Please enter a valid date.","Geef een geldige datum op a.u.b."
"Please enter a valid zip code.","Geef een geldige postcode op."
"Please enter a valid URL. For example http://www.example.com or www.example.com","Geef een geldige URL op. Bijvoorbeeld http://www.example.com of www.example.com"
"Please enter a valid URL. http:// is required","Geef een geldige URL op. http:// is noodzakelijk"
"Please enter 6 or more characters.","Geef meer dan 6 tekens op a.u.b."
"Specified date/time ""%1$s"" do not match format ""%2$s"".","Gespecificeerde datum/tijd ""%1$s"" is niet in het formaat ""%2$s""."
"Go","Go"
"Header","Header"
"Date/time format ""%s"" is not supported.","Het datum/tijd-formaat ""%s"" wordt niet ondersteund"
"Deleting a %1$s will not delete the information associated with the %1$s (e.g. categories, products, etc.), but the %1$s will not be able to be restored. It is suggested that you create a database backup before deleting the %1$s.","Het verwijderen van een %1$s leidt niet tot de verwijdering van de gegevens die eraan gekoppeld zijn (bijv. categorie&euml;n, producten, etc.), maar de verwijdering kan niet ongedaan gemaakt worden. Wij adviseren u een backup te maken van uw database voordat u de verwijdering uitvoert."
"Template Path Hints","Hints template-pad"
"Host","Host"
"HTML Head","HTML head"
"Blocks HTML output","HTML-output van blokken"
"Validate HTTP_USER_AGENT","HTTP_USER_AGENT valideren"
"Validate HTTP_VIA","HTTP_VIA valideren"
"Validate HTTP_X_FORWARDED_FOR","HTTP_X_FORWARDED_FOR valideren"
"Current package name","Huidige pakketnaam"
"Id path for specified store","Id pad voor opgegeven winkel"
"Enabled","Ingeschakeld"
"Enabled for Admin","Ingeschakeld voor Admin"
"Enabled for Frontend","Ingeschakeld voor front-end"
"Translate Inline","Inline-vertaling"
"Set as default","Instellen als standaard"
"Session Validation Settings","Instellingen sessievalidatie"
"Invalid transactional email code: ","Invalid transactional email code: "
"Cannot complete this operation from non-admin area.","Kan deze actie niet voltooien vanuit een niet-admin gebied"
"Cannot Delete Email Template","Kan e-mail template niet verwijderen"
"Can't retrieve entity config: %s","Kan entity-config niet ophalen: %s"
"Unable to proceed. Please, try again","Kan niet doorgaan. Probeer het nog een keer.a.u.b."
"Can't retrieve request object","Kan verzoekobject niet ophalen"
"Unable to delete website. Please, try again later.","Kan website niet verwijderen. Probeer het later opnieuw."
"Unable to delete store. Please, try again later.","Kan winkel niet verwijderen. Probeer het later opnieuw."
"Unable to delete store view. Please, try again later.","Kan winkelzicht niet verwijderen. Probeer het later opnieuw."
"Please choose to register or to checkout as a guest","Kies of u zich registeert of als gast betaalt a.u.b."
"Customer support","Klantenondersteuning"
"Duplicate Of Template Code","Kopie van template-code"
"Leave empty for access from any location","Laat leeg voor toegang vanaf elke locatie"
"Allow countries","Landen toestaan"
"Countries options","Landenopties"
"Layout","Layout"
"Layouts","Layouts"
"Empty identifier field name","Lege identifier van veldnaam"
"Empty main table name","Lege naam hoofdtabel"
"Log Settings","Log-instellingen"
"Logging from Mage::log(). File is located in {{base_dir}}/var/log","Loggen vanuit Mage::log(). Bestand staat in {{base_dir}}/var/log"
"Locale","Lokalisatie"
"Locale options","Lokalisatie-opties"
"Model class does not exist: %s","Model class bestaat niet: %s"
"Module ""%1$s"" can not be depended from ""%2$s""","Module ""%1$s"" mag niet afhankelijk zijn van ""%2$s"""
"Module ""%1$s"" requires module ""%2$s""","Module ""%1$s"" requires module ""%2$s"""
"Name","Naam"
"Sender name","Naam afzender"
"New Design Change","Nieuw ontwerpverandering"
"New Store View","Nieuw winkelzicht"
"New Website","Nieuwe website"
"New Store","Nieuwe winkel"
"No","No"
"Unknown scope ""%s""","Onbekende scope: %s"
"Invalid layout update argument, expected Mage_Core_Model_Layout_Element","Ongeldig argument layout-update argument. Verwachtte Mage_Core_Model_Layout_Element"
"Invalid block: %s","Ongeldig blok: %s"
"Invalid block type: %s","Ongeldig bloktype: %s"
"Invalid base url type","Ongeldig type basis-URL"
"Invalid websites configuration path: %s","Ongeldig websites-configuratiepad: %s"
"Invalid messages storage ""%s"" for layout messages initialization","Ongeldige berichtenopslag ""%s"" voor initialisatie layout berichten"
"Invalid block name to set child %s: %s","Ongeldige bloknaam om kind in te stellen %s: %s"
"Invalid layout update handle","Ongeldige handle layout-update"
"Requested invalid store ""%s""","Ongeldige winkel opgevraagd:""%s"""
"Incorrect credit card expiration date","Onjuiste verloopdatum creditcard"
"Design","Ontwerp"
"Design Change","Ontwerpverandering"
"Edit Design Change","Ontwerpverandering bewerken"
"Developer","Ontwikkelaar"
"Unsecure","Onveilig"
"The %s you entered is invalid. Please make sure that it follows ""http://domain.com/"" format.","Opgegeven %s is ongeldig. Zorg dat het voldoet aan het formaat ""http://domain.com/""."
"Save","Opslaan"
"Store with the same code","Opslaan met dezelfde code"
"Request path for specified store","Pad opvragen voor gespecificeerde winkel"
"Package","Pakket"
"Polls","Polls"
"Port (25)","Poort (25)"
"Profiler","Profiler"
"Validate REMOTE_ADDR","REMOTE_ADDR valideren"
"Disable email communications","Schakel e-mail communicatie uit"
"Disable modules output","Schakel uitvoer van modules uit"
"Search entire store here...","Search entire store here..."
"Security","Security"
"Please select one of the above options.","Selecteer &eacute;&eacute;;n van de hierboven genoemde opties a.u.b.."
"Please select one of the options.","Selecteer &eacute;&eacute;n van de opties a.u.b.."
"Please select an option.","Selecteer een optie a.u.b."
"Please select State/Province.","Selecteer een provincie a.u.b"
"Services","Services"
"Session Cookie management","Sessiecookie beheer"
"Session Lifetime, Seconds","Session Lifetime, Seconds"
"Skin (Images / CSS)","Skin (Afbeeldingen / CSS)"
"SMTP settings (Windows server only)","SMTP-instellingen (alleen Windows server)"
"Sort order","Sorteer volgorde"
"Specify either category or product, or both.","Specificeer categorie, product of beide."
"Please specify payment method.","Specificeer de betaalwijze a.u.b."
"Please specify shipping method.","Specificeer de verzendwijze a.u.b."
"Default","Standaard"
"Default Keywords","Standaard-keywords"
"Default country","Standaard-land"
"Default Description","Standaard-omschrijving"
"Default Pages","Standaard-pagina's"
"Default Robots","Standaard-robots"
"Default Title","Standaard-titel"
"Default no-route url","Standaard-URL ""Niet gevonden"""
"Default web url","Standaard-web-URL"
"Default Store","Standaard-winkel"
"Default Store View","Standaard-winkelzicht"
"Start date can't be greater than end date","Startdatum mag niet later zijn dan einddatum"
"Startup page","Startpagina"
"Status","Status"
"System","Systeem"
"Global","Systeem"
"Templates","Templates"
"Back","Terug"
"Themes","Themes"
"Timezone","Tijdzone"
"Title Suffix","Titel (achter de naam)"
"Title Prefix","Titel (voor de naam)"
"Allowed IPs (comma separated)","Toegestane IP's (door komma's gescheiden)"
"Url Options","URL-opties"
"Your order can not be completed at this time as there is no payment methods available for it.","Uw bestelling kan niet worden afgerond omdat er geen betaalwijzen voor beschikbaar zijn"
"Your session has been expired, you will be relogged in now.","Uw sessie is verlopen. U wordt nu opnieuw ingelogd."
"Values less than 60 are ignored.","Values less than 60 are ignored."
"Secure","Veilig"
"Translations","Vertalingen"
"Sales representative","Vertegenwoordiger"
"Delete","Verwijder"
"Collections Data","Verzamelingsgegevens"
"Please enter a valid $ amount. For example $100.00.","Voer een geldig &euro; bedrag op. Bijvoorbeeld: &euro; 100.00."
"Please enter valid password.","Voer een geldig wachtwoord in a.u.b."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Voer een geldige postcode in a.u.b. Bijvoorbeeld: 2900 of 6621BK"
"Please enter 6 or more characters. Leading or trailing spaces will be ignored.","Voer zes of meer tekens in a.u.b. Spaties aan begin of eind zullen worden genegeerd."
"Please wait, loading...","Wacht a.u.b. Bezig met laden..."
"Forgot Password Email Sender","Wachtwoord e-mail afzender vergeten"
"Forgot Password Email Template","Wachtwoord e-mail-template vergeten"
"Web","Web"
"Website","Website"
"Create Website","Website aanmaken"
"Website doesn't exist","Website bestaat niet"
"Website was successfully saved","Website is met succes opgeslagen"
"Website was successfully deleted.","Website is met succes verwijderd"
"Website with the same code","Website met dezelfde code"
"Save Website","Website opslaan"
"Delete Website","Website verwijderen"
"Edit Website","Website wijzigen"
"Website Information","Website-gegevens"
"Website Name","Website-naam"
"Weekend Days","Weekend-dagen"
"Are you sure?","Weet u het zeker?"
"Welcome Text","Welkomsttekst"
"Store","Winkel"
"Create Store","Winkel aanmaken"
"Store doesn't exist","Winkel bestaat niet"
"Edit Store","Winkel bewerken"
"Store was successfully saved","Winkel is met succes opgeslagen"
"Store was successfully deleted.","Winkel is met succes verwijderd"
"Save Store","Winkel opslaan"
"Delete Store","Winkel verwijderen"
"Add Store Code to Urls","Winkelcode aan URL's toevoegen"
"Store code should contain only letters (a-z), numbers (0-9) or underscore(_), first character should be a letter","Winkelcode mag alleen bestaan uit letters (a-z), cijfers (0-9) of underscores (_). Het eerste teken moet een letter zijn."
"Store Information","Winkelgegevens"
"Store Name","Winkelnaam"
"Store View","Winkelzicht"
"Create Store View","Winkelzicht aanmaken"
"Store view doesn't exist","Winkelzicht bestaat niet"
"Edit Store View","Winkelzicht bewerken"
"Store View was successfully saved","Winkelzicht is met succes opgeslagen."
"Store view was successfully deleted.","Winkelzicht is met succes verwijderd"
"Save Store View","Winkelzicht opslaan"
"Delete Store View","Winkelzicht verwijderen"
"Store View Information","Winkelzicht-gegevens"
"Store View Name","Winkelzicht-naam"
"Yes","Yes"
"You have no items to compare.","You have no items to compare."
"Your order can not be completed at this time as there is no shipping methods available for it. Please make necessary changes in your shipping address.","Your order can not be completed at this time as there is no shipping methods available for it. Please make necessary changes in your shipping address."
"Search","Zoek"
"Search Engines Optimization","Zoekmachine-optimalisatie (SEO)"
"Match expressions in the same order as displayed in the configuration.","Zorg dat expressies in dezelfde vorlgorde staan als getoond in de configuratie"
"Please make sure your passwords match.","Zorg er voor dat de wachtwoorden overeenkomen"
